Date,Total Records,Status,Verification,High,Low,Close,Next High,Next Low,Next Close
01/17/2023,63353,completed,passed,2187.79,2136.38,2182.11,2214.78,2166.35,2173.1
01/18/2023,69490,completed,passed,2214.78,2166.35,2173.1,2192.71,2163.14,2178.81
01/19/2023,58517,completed,passed,2192.71,2163.14,2178.81,2203.13,2162.83,2165.1
01/23/2023,65060,completed,passed,2203.13,2162.83,2165.1,2173.24,2139.89,2173.25
01/24/2023,52376,completed,passed,2173.24,2139.89,2173.25,2199.93,2175.13,2183.62
01/25/2023,54258,completed,passed,2199.93,2175.13,2183.62,2201.64,2177.99,2183.21
01/26/2023,47828,completed,passed,2201.64,2177.99,2183.21,2192.85,2163.89,2168.53
01/29/2023,51840,completed,passed,2192.85,2163.89,2168.53,2174.66,2124.83,2127.52
01/30/2023,57014,completed,passed,2174.66,2124.83,2127.52,2136.44,2107.77,2111.68
01/31/2023,53778,completed,passed,2136.44,2107.77,2111.68,2124.3,2104.48,2116.65
02/01/2023,36820,completed,passed,2124.3,2104.48,2116.65,2126.14,2090.14,2094.54
02/02/2023,39589,completed,passed,2126.14,2090.14,2094.54,2118.27,2087.69,2096.08
02/05/2023,39128,completed,passed,2118.27,2087.69,2096.08,2102.7,2087.2,2100.7
02/06/2023,29805,completed,passed,2102.7,2087.2,2100.7,2177.75,2099.03,2177.34
02/07/2023,59843,completed,passed,2177.75,2099.03,2177.34,2213.89,2161,2170.21
02/08/2023,55533,completed,passed,2213.89,2161,2170.21,2183.75,2153.31,2182.61
02/09/2023,35388,completed,passed,2183.75,2153.31,2182.61,2181.2,2117.67,2121.75
02/12/2023,51176,completed,passed,2181.2,2117.67,2121.75,2122.56,2100.57,2105.46
02/14/2023,36837,completed,passed,2122.56,2100.57,2105.46,2117.84,2086.78,2091.56
02/15/2023,33425,completed,passed,2117.84,2086.78,2091.56,2099.43,2066.78,2070.41
02/16/2023,34997,completed,passed,2099.43,2066.78,2070.41,2069.78,2040.18,2046.81
02/20/2023,38348,completed,passed,2069.78,2040.18,2046.81,2084.04,2048.11,2080.38
02/22/2023,39908,completed,passed,2084.04,2048.11,2080.38,2078.48,2014.6,2022.64
02/23/2023,47966,completed,passed,2078.48,2014.6,2022.64,2029.66,1961.24,2027.19
02/26/2023,50429,completed,passed,2029.66,1961.24,2027.19,2043.99,1990.27,2023.54
02/27/2023,37268,completed,passed,2043.99,1990.27,2023.54,2033.7,2013.25,2019.93
02/28/2023,28641,completed,passed,2033.7,2013.25,2019.93,2024.7,1994.46,1995.49
03/01/2023,26397,completed,passed,2024.7,1994.46,1995.49,1996.4712,1966.9105,1967.4503
03/02/2023,28377,completed,passed,1996.4712,1966.9105,1967.4503,1975.93,1935.21,1938.25
03/05/2023,30864,completed,passed,1975.93,1935.21,1938.25,1964.08,1937.43,1952.66
03/07/2023,24319,completed,passed,1964.08,1937.43,1952.66,2002.99,1955.55,2002.7
03/09/2023,38059,completed,passed,2002.99,1955.55,2002.7,2017.3,1970.67,1975.89
03/12/2023,36218,completed,passed,2017.3,1970.67,1975.89,1977.52,1944.42,1951.21
03/13/2023,26814,completed,passed,1977.52,1944.42,1951.21,1965.19,1939.32,1953.06
03/14/2023,26415,completed,passed,1965.19,1939.32,1953.06,1956.37,1926.57,1938.62
03/15/2023,25456,completed,passed,1956.37,1926.57,1938.62,1946.77,1919.93,1933.31
03/16/2023,26333,completed,passed,1946.77,1919.93,1933.31,1939.43,1922.22,1926.4
03/19/2023,30728,completed,passed,1939.43,1922.22,1926.4,1949.17,1925.41,1949.06
